"","year","plant_name","operator_name","county_fips","county_name","latitude","longitude","fuel_type","capacity_factor","nameplate_capacity","annual_net_generation","coastal"
"26",2000,"CHOCOLATE BAYOU PLANT","Solutia Inc","39","BRAZORIA","29.2062","-95.4646","gas",0.1901,55.3,92072.2,FALSE
"27",2000,"CHOCOLATE BAYOU WORKS","BP Amoco","39","BRAZORIA","29.2062","-95.4646","gas",0.7932,41,284892.2,FALSE
"28",2000,"CLEAR LAKE COGENERATION LTD","Calpine","201","HARRIS","29.8336","-95.4383","gas",0.8982,377,2966434.2,FALSE
"29",2000,"COGEN LYONDELL INC","Dynegy Generation","201","HARRIS","29.8336","-95.4383","gas",0.806,564,3982112.7,FALSE
"30",2000,"COLEMAN","Coleman City of","83","COLEMAN","31.7606","-99.4588","gas",0.0039,16.86,573,FALSE
"31",2000,"COLETO CREEK","AEP NUGs","175","GOLIAD","28.7128","-97.2142","coal",0.966,570.057,4823734,FALSE
"32",2000,"COLLIN","TXU Generation LLC","85","COLLIN","33.2028","-96.8108","gas",0.2172,156.25,297264,FALSE
"33",2000,"COMANCHE PEAK","TXU Generation LLC","425","SOMERVELL","32.2029","-97.7801","nuclear",0.8671,2430,18456868,FALSE
"34",2000,"CORPUS CHRISTI PLANT","Occidental Chemical Corp","355","NUECES","27.777","-97.4878","gas",0.7237,45.176,286393.2,FALSE
"35",2000,"CORPUS CHRISTI REFINERY","Coastal Refining&Marketing Inc","355","NUECES","27.777","-97.4878","gas",0.8597,40,301253.6,FALSE
"36",2000,"DANSBY","Bryan City of","41","BRAZOS","30.7217","-96.4611","gas",0.3756,105,345522,FALSE
"37",2000,"DECKER CREEK","Austin City of","453","TRAVIS","30.3036","-97.6128","gas",0.2726,932.58,2226790,FALSE
"38",2000,"DECORDOVA","AEP NUGs","221","HOOD","32.4017","-97.7186","gas",0.4038,1157.112,4092872,FALSE
"39",2000,"DEEPWATER","Texas Genco","201","HARRIS","29.7231","-95.2261","gas",0.1161,187.85,191096,FALSE
"40",2000,"DEER PARK PLANT","Occidental Chemical Corp","201","HARRIS","29.8336","-95.4383","gas",0.7939,111.06,772370.3,FALSE
"41",2000,"DELAWARE MOUNTAIN WINDFARM","General Electric Wind Energy","201","HARRIS","29.8336","-95.4383","wind",0.2863,30,75233.5,FALSE
"42",2000,"DFW GAS RECOVERY","DFW Gas Recovery","121","DENTON","33.2075","-97.116","gas",0.8128,6,42719.5,FALSE
"43",2000,"DUNLAP TP 1","Guadalupe Blanco River Auth","187","GUADALUPE","29.6175","-97.9721","hydro",0.3679,3.6,11601,FALSE
"44",2000,"E S JOSLIN","AEP NUGs","57","CALHOUN","28.65","-96.5417","gas",0.2922,234.874,601242,FALSE
"45",2000,"EAGLE MOUNTAIN","TXU Generation LLC","439","TARRANT","32.9058","-97.4794","gas",0.1513,706.15,935687,FALSE
"46",2000,"EAGLE PASS","AEP NUGs","323","MAVERICK","28.643","-100.3891","hydro",0.4623,12,48593,FALSE
"47",2000,"ENCOGEN ONE","EEX Power Systems","353","NOLAN","32.3034","-100.4054","gas",0.7104,265.97,1655235.3,FALSE
"48",2000,"ENTERPRISE PRODUCTS OPERATING LP","Enterprise Products Operatg LP","71","CHAMBERS","29.7077","-94.6667","gas",0.8433,25.7,189845.5,FALSE
"49",2000,"EXXON MOBIL CO USA BAYTOWN PP3 PP4","Exxon Mobil","201","HARRIS","29.8336","-95.4383","gas",0.873,215,1644169.6,FALSE
"50",2000,"FALCON DAM & POWER","International Bound & Wtr Comm","427","STARR","26.5177","-98.7449","hydro",0.1504,31.5,41494,FALSE
"51",2000,"FAYETTE POWER PRJ","Lower Colorado River Authority","149","FAYETTE","29.9172","-96.7506","coal",0.8019,1690,11871988,FALSE
"52",2000,"FORMOSA UTILITY VENTURE LTD","Formosa Plastics Corp","57","CALHOUN","28.3954","-96.6261","gas",0.6723,652.2,3841031.6,FALSE
"53",2000,"FORT BEND UTILITIES CO","Imperial Co","157","FORT BEND","29.5254","-95.7569","gas",0.5046,6.155,27207.3,FALSE
"54",2000,"FORT PHANTOM","AEP NUGs","253","JONES","32.5825","-99.6825","gas",0.4489,337.322,1326599,FALSE
"55",2000,"FORT STOCKTON","AEP NUGs","371","PECOS","30.7119","-102.6783","gas",4e-04,5,18,FALSE
"56",2000,"FREEPORT","BASF","39","BRAZORIA","29.2062","-95.4646","gas",0.7962,92.7,646545.4,FALSE
"57",2000,"FRONTERA GENERATION FACILITY","CSW Energy Inc","215","HIDALGO","26.4226","-98.2239","gas",0.338,511,1513190.7,FALSE
"58",2000,"FULLERTON PLANT","GPM Gas Services Co","3","ANDREWS","32.305","-102.6376","gas",0.5842,3,15353,FALSE
"59",2000,"GIBBONS CREEK","Texas Municipal Power Agency","185","GRIMES","30.6167","-96.0778","coal",0.8444,443.97,3283963,FALSE
"60",2000,"GRAHAM","TXU Generation LLC","503","YOUNG","33.1347","-98.6119","gas",0.4124,634.775,2293324,FALSE
"61",2000,"GRANITE SHOALS","Lower Colorado River Authority","53","BURNET","30.7304","-98.1415","hydro",0.1031,45,40644,FALSE
"62",2000,"GREENS BAYOU","Texas Genco","201","HARRIS","29.8208","-95.2183","gas",0.1162,878.4,894223,FALSE
"63",2000,"GREGORY POWER FACILITY","LG&E Power Services","409","SAN PATRICIO","28.0115","-97.5202","gas",0.3937,464,1600114.7,FALSE
"64",2000,"GUADALUPE GENERATING STATION","Guadalupe Power Partners LP","187","GUADALUPE","29.6175","-97.9721","gas",0.0143,1142.2,142873.7,FALSE
"65",2000,"H 4","Guadalupe Blanco River Auth","177","GONZALES","29.447","-97.4944","hydro",0.3193,2.4,6714,FALSE
"66",2000,"H 5","Guadalupe Blanco River Auth","177","GONZALES","29.447","-97.4944","hydro",0.0132,2.4,278,FALSE
"67",2000,"HANDLEY","Exelon Generation","439","TARRANT","32.7286","-97.2192","gas",0.2396,1433.35,3008390,FALSE
"68",2000,"HIDALGO ENERGY CENTER","Hidalgo Energy Center LP","215","HIDALGO","26.4226","-98.2239","gas",0.2488,500,1089614.7,FALSE
"69",2000,"HIRAM CLARKE","Texas Genco","201","HARRIS","29.6483","-95.4508","gas",0.0236,96,19810,FALSE
"70",2000,"HOLLY STREET","Austin City of","453","TRAVIS","30.25","-97.7167","gas",0.2547,558,1244904,FALSE
"71",2000,"HOUSTON CHEMICAL COMPLEX BATTLEGROUND SITE","Occidental Chemical Corp","201","HARRIS","29.8336","-95.4383","gas",0.8644,200,1514503.4,FALSE
"72",2000,"INGLESIDE COGENERATION","Occidental Chemical Corp","409","SAN PATRICIO","28.0115","-97.5202","gas",0.625,528,2891010.6,FALSE
"73",2000,"INKS","Lower Colorado River Authority","53","BURNET","30.7304","-98.1415","hydro",0.1037,15,13625,FALSE
"74",2000,"J K SPRUCE","San Antonio Public Service Bd","29","BEXAR","29.3064","-98.3203","coal",0.832,546,3979311,FALSE
"75",2000,"J L BATES","AEP NUGs","215","HIDALGO","26.2167","-98.4083","gas",0.3588,166,521686,FALSE
"76",2000,"J T DEELY","San Antonio Public Service Bd","29","BEXAR","29.3072","-98.3228","coal",0.7083,892,5534842,FALSE
"77",2000,"JAMESON GAS PROCESSING PLANT","Mitchell Gas Services LP","81","COKE","31.8895","-100.53","gas",0.9353,1.25,10241,FALSE
"78",2000,"KOCH PETROLEUM GROUP LP CORPUS REFINERY","Koch","355","NUECES","27.777","-97.4878","gas",0.5588,55,269228.5,FALSE
"79",2000,"LA PALMA","AEP NUGs","61","CAMERON","26.1333","-97.6389","gas",0.2888,242.325,613040,FALSE
"80",2000,"LAKE CREEK","TXU Generation LLC","309","MCLENNAN","31.4633","-96.9867","gas",0.3198,321.625,901084,FALSE
"81",2000,"LAKE HUBBARD","TXU Generation LLC","113","DALLAS","32.8361","-96.5461","gas",0.3281,927.519,2665782,FALSE
"82",2000,"LAKE PAULINE","AEP NUGs","197","HARDEMAN","34.3","-99.74","gas",0.0677,40,23719,FALSE
"83",2000,"LAMAR POWER PROJECT","Panda Energy","277","LAMAR","33.6603","-95.583","gas",0.2263,1090.84,2162243.4,FALSE
"84",2000,"LAREDO","AEP NUGs","479","WEBB","27.5667","-99.5089","gas",0.4992,168.29,735976,FALSE
"85",2000,"LEON CREEK","San Antonio Public Service Bd","29","BEXAR","29.3508","-98.575","gas",0.0547,189,90621,FALSE
"86",2000,"LEWISVILLE","Denton City of","121","DENTON","33.2075","-97.116","hydro",0.0974,2.8,2389,FALSE
"87",2000,"LIMESTONE","Texas Genco","293","LIMESTONE","31.4222","-96.2525","coal",0.7936,1626.8,11309765,FALSE
"88",2000,"LON C HILL","AEP NUGs","355","NUECES","27.85","-97.6167","gas",0.3452,510.874,1545059,FALSE
"89",2000,"LUFKIN TEXAS","Champion International Corp","5","ANGELINA","31.2763","-94.5662","gas",0.5576,84.926,414833.1,FALSE
"90",2000,"MARBLE FALLS","Lower Colorado River Authority","53","BURNET","30.7304","-98.1415","hydro",0.0966,30,25386,FALSE
"91",2000,"MARSHALL FORD","Lower Colorado River Authority","453","TRAVIS","30.3241","-97.7711","hydro",0.0925,102.545,83074,FALSE
"92",2000,"MARTIN LAKE","AEP NUGs","401","RUSK","32.2606","-94.5708","coal",0.7926,2379.75,16523889,FALSE
"93",2000,"MIDKIFF PLANT","Western Gas Resources","461","UPTON","31.3656","-102.0461","gas",0.5791,3.6,18261.2,FALSE
"94",2000,"MIDLOTHIAN ENERGY FACILITY","ANP","139","ELLIS","32.3005","-96.7348","gas",0.0953,1156,965141.3,FALSE
"95",2000,"MIRANT TEXAS LP BOSQUE COUNTY PLANT","Mirant Corp","35","BOSQUE","31.8957","-97.6407","gas",0.1564,340,465763.6,FALSE
"96",2000,"MISSION ROAD","San Antonio Public Service Bd","29","BEXAR","29.3975","-98.4883","gas",0.0557,114,55598,FALSE
"97",2000,"MONTICELLO","AEP NUGs","449","TITUS","33.0917","-95.0417","coal",0.7132,1980.05,12370262,FALSE
"98",2000,"MORGAN CREEK","TXU Generation LLC","335","MITCHELL","32.3361","-100.9156","gas",0.301,1364.223,3596656,FALSE
"99",2000,"MORRIS SHEPPARD","Brazos River Authority","363","PALO PINTO","32.7596","-98.3157","hydro",0.0161,25,3520,FALSE
"100",2000,"MOUNTAIN CREEK","Exelon Generation","113","DALLAS","32.7233","-96.9361","gas",0.2719,958.491,2283187,FALSE
"101",2000,"NEWGULF","CSW Energy Inc","481","WHARTON","29.2983","-96.2438","gas",0.0366,91.25,29284.8,FALSE
"102",2000,"NOLTE","Guadalupe Blanco River Auth","187","GUADALUPE","29.6175","-97.9721","hydro",0.2964,2.4,6232,FALSE
"103",2000,"NORTH LAKE","TXU Generation LLC","113","DALLAS","32.9506","-96.975","gas",0.3093,708.605,1919915,FALSE
"104",2000,"NORTH MAIN","TXU Generation LLC","439","TARRANT","32.7608","-97.3364","gas",0.1429,116.25,145506,FALSE
"105",2000,"NORTH TEXAS","Brazos Electric Power Coop Inc","367","PARKER","32.7803","-97.6953","gas",0.0502,71,31224,FALSE
"106",2000,"NUECES BAY","AEP NUGs","355","NUECES","27.8169","-97.4167","gas",0.5054,513.694,2274273,FALSE
"107",2000,"O W SOMMERS","San Antonio Public Service Bd","29","BEXAR","29.3078","-98.3244","gas",0.3282,892,2564440,FALSE
"108",2000,"OAK CREEK","AEP NUGs","81","COKE","31.89","-100.53","gas",0.4979,75,327109,FALSE
"109",2000,"OKLAUNION","AEP NUGs","487","WILBARGER","34.0825","-99.1753","coal",0.7667,663.943,4459043,FALSE
"110",2000,"OYSTER CREEK UNIT VIII","Dow Chemical","201","HARRIS","29.8336","-95.4383","gas",0.6606,498.045,2881955.8,FALSE
"111",2000,"P H ROBINSON","Texas Genco","167","GALVESTON","29.4869","-94.9797","gas",0.4591,2314.5,9308940,FALSE
"112",2000,"PAINT CREEK","AEP NUGs","207","HASKELL","33.0811","-99.5778","gas",0.2332,218.145,445706,FALSE
"113",2000,"PARKDALE","TXU Generation LLC","113","DALLAS","32.7767","-96.7236","gas",0.2057,340.625,613856,FALSE
"114",2000,"PASADENA","Air Products","201","HARRIS","29.8336","-95.4383","gas",0.6074,4,21281.8,FALSE
"115",2000,"PASADENA COGENERATION LP","Calpine","201","HARRIS","29.8336","-95.4383","gas",0.2842,760.9,1894229.9,FALSE
"116",2000,"PEARSALL","Medina Electric Coop Inc","163","FRIO","29.0939","-99.4122","gas",0.0912,66,52714,FALSE
"117",2000,"PERMIAN BASIN","TXU Generation LLC","475","WARD","31.5839","-102.9636","gas",0.3218,1097.844,3094371,FALSE
"118",2000,"POWER STATION 3","BP Amoco","167","GALVESTON","29.3171","-94.9773","gas",0.3552,118.127,367547.8,FALSE
"119",2000,"POWER STATION 4","BP Amoco","167","GALVESTON","29.3171","-94.9773","gas",0.8621,191.123,1443361.7,FALSE
"121",2000,"PPG INDUSTRIES INC  WORKS 4","PPG Industries Inc","485","WICHITA","34.0121","-98.6874","oil",0.015,6.03,790.6,FALSE
"122",2000,"PRESIDIO","AEP NUGs","377","PRESIDIO","29.9458","-104.386","oil",8e-04,2.272,15,FALSE
"123",2000,"PT  COMFORT OPERATIONS","Alcoa NUGS","57","CALHOUN","28.3954","-96.6261","gas",0.6603,63.1,364991.1,FALSE
"124",2000,"R W MILLER","Brazos Electric Power Coop Inc","363","PALO PINTO","32.6581","-98.3103","gas",0.3375,603.636,1784594,FALSE
"125",2000,"RAY OLINGER","Garland City of","85","COLLIN","33.0681","-96.4528","gas",0.3594,345,1086200,FALSE
"126",2000,"RAY ROBERTS","Denton City of","121","DENTON","33.2075","-97.116","hydro",0.2127,1.2,2236,FALSE
"127",2000,"REYNOLDS METALS CO SHERWIN PLANT","Reynolds Metals Co Sherwin Plt","355","NUECES","27.777","-97.4878","gas",0.7438,39,254095.9,FALSE
"128",2000,"RHODIA INC HOUSTON PLANT","Aventis","201","HARRIS","29.8336","-95.4383","other",0.8915,6.5,50764.4,FALSE
"129",2000,"RICE UNIVERSITY","William Marsh Rice University","201","HARRIS","29.8336","-95.4383","gas",0.5298,7.106,32978.2,FALSE
"130",2000,"RIO GRANDE VALLEY SUGAR GROWERS INC","Rio Grande Sugar Growers Co","61","CAMERON","26.1416","-97.5059","other",0.23,7.5,15113.6,FALSE
"131",2000,"RIO PECOS","AEP NUGs","105","CROCKETT","31.0867","-102.3694","gas",0.4316,126.968,480025,FALSE
"132",2000,"RIVER CREST","TXU Generation LLC","387","RED RIVER","33.3933","-95.1467","gas",0.1857,112.5,183042,FALSE
"133",2000,"ROBERT D WILLIS","USCE-Fort Worth District","241","JASPER","30.6999","-93.9944","hydro",0.4958,7.2,31270,FALSE
"134",2000,"ROBSTOWN","Robstown City of","355","NUECES","27.777","-97.4878","gas",0.1684,21.071,31088,FALSE
"135",2000,"S&L COGENERATION","Praxair Inc","167","GALVESTON","29.3171","-94.9773","gas",0.6087,55,293265.9,FALSE
"136",2000,"SAM BERTRON","Texas Genco","201","HARRIS","29.7297","-95.1719","gas",0.2437,875.26,1868402,FALSE
"137",2000,"SAM RAYBURN","South Texas Electric Coop Inc","469","VICTORIA","28.79","-96.98","gas",0.0512,47.7,21404,FALSE
"138",2000,"SAM RAYBURN","USCE-Fort Worth District","241","JASPER","30.6999","-93.9944","hydro",0.0813,52,37035,FALSE
"139",2000,"SAN ANGELO","AEP NUGs","451","TOM GREEN","31.3933","-100.4922","gas",0.786,110,757421,FALSE
"140",2000,"SAN JACINTO SES","Texas Genco","201","HARRIS","29.8336","-95.4383","gas",0.8849,176.4,1367335,FALSE
"141",2000,"SAN MIGUEL","San Miguel Electric Coop Inc","13","ATASCOSA","28.7089","-98.4722","coal",0.8297,410,2980041,FALSE
"142",2000,"SANDOW","AEP NUGs","331","MILAM","30.5642","-97.0639","coal",0.6874,590.64,3556710,FALSE
"143",2000,"SANDOW","Alcoa NUGS","331","MILAM","30.7839","-96.9655","coal",0.8791,363,2795378.1,FALSE
"144",2000,"SEADRIFT COKE LP","Seadrift Coke L P","57","CALHOUN","28.3954","-96.6261","gas",0.5954,7.6,39640.1,FALSE
"145",2000,"SEADRIFT PLANT UNION CARBIDE CORP","Union Carbide","57","CALHOUN","28.3954","-96.6261","gas",0.5806,168,854447.1,FALSE
"146",2000,"SHELDON TEXAS","Champion International Corp","201","HARRIS","29.8336","-95.4383","gas",0.2809,97.25,239265.7,FALSE
"147",2000,"SHELL DEER PARK","Shell","201","HARRIS","29.8336","-95.4383","gas",0.8373,250,1833724.9,FALSE
"148",2000,"SI RAY","Brownsville Public Utils Board","61","CAMERON","25.9131","-97.5222","gas",0.0868,145,110268,FALSE
"149",2000,"SIM GIDEON","Lower Colorado River Authority","21","BASTROP","30.1417","-97.275","gas",0.3957,639,2214828,FALSE
"150",2000,"SMALL HYDRO OF TEXAS INC","Small Hydro of Texas Inc","123","DE WITT","29.0987","-97.3657","hydro",0.2268,1.767,3509.9,FALSE
"151",2000,"SOUTH TEXAS","Texas Genco","321","MATAGORDA","28.806","-95.9432","nuclear",0.8049,2708.64,19098939,FALSE
"152",2000,"SOUTHERN ENERGY WICHITA FALLS LP","Vetrotex America","485","WICHITA","34.0121","-98.6874","gas",0.6925,80,485330.9,FALSE
"153",2000,"SOUTHWEST TEXAS STATE UNIVERSITY COGEN","Southwest Texas State Univ","209","HAYS","30.0543","-98.0028","gas",0.6513,6,34231,FALSE
"154",2000,"SPENCER","Denton City of","121","DENTON","33.2042","-97.1028","gas",0.1697,173.945,258538,FALSE
"155",2000,"STATE FARM INS CO ISC CENTRAL","Daniel Norris","113","DALLAS","32.7669","-96.7773","oil",0.0016,10.95,154.7,FALSE
"156",2000,"STRYKER CREEK","TXU Generation LLC","73","CHEROKEE","31.9381","-94.9883","gas",0.3799,713.48,2374121,FALSE
"157",2000,"SUNSET FARMS","Gas Recovery Systems Inc","453","TRAVIS","30.3241","-97.7711","gas",0.6676,3.03,17719.8,FALSE
"158",2000,"SWEENY COGENERATION FACILITY","Sweeny Cogeneration LP","39","BRAZORIA","29.2062","-95.4646","gas",0.6753,460,2721156.2,FALSE
"159",2000,"T H WHARTON","Texas Genco","201","HARRIS","29.9417","-95.5306","gas",0.3232,1421.52,4024769,FALSE
"160",2000,"TENASKA III TEXAS PARTNERS","North American Energy Services","277","LAMAR","33.6603","-95.583","gas",0.6799,250,1489002.2,FALSE
"161",2000,"TENASKA IV TEXAS PARTNERS LTD CLEBURNE COGEN","North American Energy Services","251","JOHNSON","32.3444","-97.3516","gas",0.629,282.6,1557231.3,FALSE
"162",2000,"TEXAS CITY COGENERATION LP","Texas City Cogeneration L P","167","GALVESTON","29.3171","-94.9773","gas",0.895,450,3528231.5,FALSE
"163",2000,"TEXAS CITY PLANT UNION CARBIDE CORP","Union Carbide","167","GALVESTON","29.3171","-94.9773","gas",0.5954,96,500745.7,FALSE
"164",2000,"TEXAS PETROCHEMICALS CORP","Texas Petrochemicals Corp","201","HARRIS","29.8336","-95.4383","gas",0.9715,35,297873.4,FALSE
"165",2000,"THE DOW CHEMICAL CO TEXAS OPERATIONS","Dow Chemical","39","BRAZORIA","29.2062","-95.4646","gas",0.5558,1378.839,6713102.3,FALSE
"166",2000,"THOMAS C FERGUSON","Lower Colorado River Authority","299","LLANO","30.5564","-98.3694","gas",0.3707,446,1448162,FALSE
"167",2000,"TNP ONE","Sempra Energy Resources","395","ROBERTSON","31.0928","-96.6933","coal",0.7242,349.2,2215215,FALSE
"168",2000,"TP 4","Guadalupe Blanco River Auth","187","GUADALUPE","29.6175","-97.9721","hydro",0.3455,2.4,7264,FALSE
"169",2000,"TRADINGHOUSE","TXU Generation LLC","309","MCLENNAN","31.5728","-96.9644","gas",0.4469,1379.7,5401353,FALSE
"170",2000,"TRINIDAD","TXU Generation LLC","213","HENDERSON","32.1336","-96.1019","gas",0.1867,243.36,397926,FALSE
"171",2000,"UNIVERSITY OF TEXAS AT AUSTIN","University of Texas at Austin","453","TRAVIS","30.3241","-97.7711","gas",0.3508,103.427,317862.6,FALSE
"172",2000,"UNIVERSITY OF TEXAS AT DALLAS","Win Sam Inc","113","DALLAS","32.7669","-96.7773","gas",0.0939,3.5,2878.5,FALSE
"173",2000,"UNIVERSITY OF TEXAS AT SAN ANTONIO","Thermonetics Div of Win Sam","29","BEXAR","29.4332","-98.4635","gas",0.1439,3.47,4372.8,FALSE
"174",2000,"V H BRAUNIG","San Antonio Public Service Bd","29","BEXAR","29.2561","-98.3814","gas",0.2271,894,1778434,FALSE
"175",2000,"VALERO REFINERY","Valero Refining Co","355","NUECES","27.777","-97.4878","gas",0.4625,64.7,262145.8,FALSE
"176",2000,"VALERO REFINING CO TEXAS CITY REFINERY","Valero Refining Co","167","GALVESTON","29.3171","-94.9773","gas",0.7123,39.56,246853.3,FALSE
"177",2000,"VALERO REFINING CO TEXAS HOUSTON REFINERY","Valero Refining Co","201","HARRIS","29.8336","-95.4383","gas",0.7196,34.296,216188,FALSE
"178",2000,"VALLEY","TXU Generation LLC","147","FANNIN","33.6436","-96.365","gas",0.3102,1175.49,3193711,FALSE
"179",2000,"VERNON","AEP NUGs","487","WILBARGER","34.1135","-99.2133","oil",0,11.28,3,FALSE
"180",2000,"VICTORIA","AEP NUGs","469","VICTORIA","28.7894","-97.0103","gas",0.221,460.874,892276,FALSE
"181",2000,"VICTORIA TEXAS PLANT","E I DuPont De Nemours & Co","469","VICTORIA","28.8017","-96.9749","gas",0.9867,80,691478.3,FALSE
"182",2000,"VILLAGE CREEK WASTEWATER TREATMENT PLANT","Ft Worth City of","439","TARRANT","32.7712","-97.2911","other",0.353,4,12370.8,FALSE
"183",2000,"W A PARISH","Texas Genco","157","FORT BEND","29.4833","-95.6331","coal",0.5229,3969.12,18179532,FALSE
"184",2000,"W B TUTTLE","San Antonio Public Service Bd","29","BEXAR","29.5303","-98.4178","gas",0.083,495,359784,FALSE
"185",2000,"WEBSTER","Texas Genco","201","HARRIS","29.5261","-95.1081","gas",0.1338,426.36,499719,FALSE
"186",2000,"WEST TEXAS WIND ENERGY LLC","Daniel Norris","461","UPTON","31.3656","-102.0461","wind",0.3588,75,235711.2,FALSE
"187",2000,"WEST TEXAS WINDPLANT","LG&E Power Services","229","HUDSPETH","31.3158","-105.4522","wind",0.2752,33.6,81015.9,FALSE
"188",2000,"WESTHOLLOW TECHNOLOGY CENTER","Shell","201","HARRIS","29.8336","-95.4383","gas",1.0351,3.725,33774.7,FALSE
"189",2000,"WHITNEY","USCE-Fort Worth District","35","BOSQUE","31.8957","-97.6407","hydro",0.0435,30,11437,FALSE
"190",2000,"YATES GAS PLANT","Marathon Oil Co","371","PECOS","30.7119","-102.6783","gas",0.5194,5.6,25480,FALSE
"191",2004,"Abbott TP 3","Guadalupe Blanco River Auth","187","Guadalupe","29.5884","-97.9541","hydro",0.6555,2.8,16076.93,FALSE
"192",2004,"AES Deepwater","AES NUGs","201","Harris","29.7192","-95.2278","other",0.7222,184,1164138.28,FALSE
"193",2004,"Amistad Dam & Power","International Bound & Wtr Comm","465","Val Verde","29.8929","-101.1466","hydro",0.0037,66,2152.95,FALSE
"194",2004,"Arthur Von Rosenberg","CPS Energy","029","Bexar","29.4523","-98.5251","gas",0.3869,550,1864305,FALSE
"195",2004,"Austin","Lower Colorado River Authority","453","Travis","30.3357","-97.7876","hydro",0.2875,16,40302.93,FALSE
"196",2004,"Barney M. Davis","Carlyle/Riverstone","355","Nueces","27.6067","-97.3119","gas",0.1079,703,664326,FALSE
"197",2004,"BASF Freeport Works","BASF","039","Brazoria","29.1935","-95.457","gas",0.7983,92.7,648296.49,FALSE
"198",2004,"Bastrop Energy Center","Direct Energy","021","Bastrop","30.1458","-97.55","gas",0.2088,727.8,1331506.3,FALSE
"199",2004,"Baylor University Cogen","Baylor University","309","McLennan","31.5583","-97.2016","gas",0.6637,3.4,19767.53,FALSE
"200",2004,"Bayou Cogen Plant","Air Liquide","201","Harris","29.8614","-95.3996","gas",0.7844,300,2061429.89,FALSE
"201",2004,"Baytown Energy Center","Calpine","071","Chambers","29.7731","-94.9019","gas",0.5492,914.6,4399831.73,FALSE
